ILL,sample,umi_underspike,umi_overspike,umi_over_pctg,total_reads,sample_type,cut,check1_total_reads,check2_umi_overspike,check3_pct_overspike,checks_passed,is_empty
130,NTC-G10,18299,0,0.0,1648244,NTC,True,False,False,False,0,True
130,NTC-G5,27334,0,0.0,1910630,NTC,True,True,False,False,1,True
130,NTC-H10,19198,0,0.0,502449,NTC,False,False,False,False,0,True
130,NTC-H5,48132,0,0.0,4123337,NTC,True,True,False,False,1,True
130,WATER-A2,20728,0,0.0,1033027,WATER,False,False,False,False,0,True
130,WATER-A7,23428,0,0.0,1065249,WATER,False,False,False,False,0,True
130,s1-A1,25783,0,0.0,1495451,sample,True,False,False,False,0,True
130,s1-A6,26931,0,0.0,1510862,sample,True,False,False,False,0,True
130,s11-F1,63660,25,0.0003925571170605323,7617417,sample,True,True,False,False,1,True
130,s11-F6,56735,0,0.0,7499617,sample,True,True,False,False,1,True
130,s13-G1,12417,3,0.00024154589371980676,27167,sample,False,False,False,False,0,True
130,s13-G6,42487,1,2.3536057239691207e-05,7222161,sample,True,True,False,False,1,True
130,s17-H1,83345,7674,0.08431206671134599,8895508,sample,True,True,True,True,3,False
130,s17-H6,84360,7184,0.07847592414576597,10050507,sample,True,True,True,True,3,False
130,s19-B2,69507,12695,0.1544366317121238,10318553,sample,True,True,True,True,3,False
130,s19-B7,94252,12659,0.11840689919652796,12467163,sample,True,True,True,True,3,False
130,s21-C2,7863,470,0.05640225609024361,570560,sample,False,False,True,True,2,False
130,s21-C7,7756,0,0.0,406157,sample,False,False,False,False,0,True
130,s23-D2,15840,0,0.0,356484,sample,False,False,False,False,0,True
130,s23-D7,14151,0,0.0,330330,sample,False,False,False,False,0,True
130,s25-E2,71904,1227,0.01677811051400911,8313489,sample,True,True,True,True,3,False
130,s25-E7,91226,4316,0.045173850243871806,9792176,sample,True,True,True,True,3,False
130,s27-F2,14539,8,0.0005499415687083248,1615406,sample,True,False,False,False,0,True
130,s27-F7,16585,14,0.0008434243026688355,1564435,sample,True,False,False,False,0,True
130,s29-G2,22993,0,0.0,1637017,sample,True,False,False,False,0,True
130,s29-G7,20327,0,0.0,1671633,sample,True,False,False,False,0,True
130,s3-B1,60777,0,0.0,5615507,sample,True,True,False,False,1,True
130,s3-B6,56976,0,0.0,5639928,sample,True,True,False,False,1,True
130,s33-H2,58852,204,0.003454348415063668,7768127,sample,True,True,False,True,2,False
130,s33-H7,80155,101,0.0012584728867623604,9560326,sample,True,True,False,False,1,True
130,s35-A3,83266,3352,0.038698653859474935,12922723,sample,True,True,True,True,3,False
130,s35-A8,86314,3417,0.03808048500518216,12632669,sample,True,True,True,True,3,False
130,s37-C3,17631,0,0.0,1907017,sample,True,True,False,False,1,True
130,s37-C8,17486,0,0.0,1845056,sample,True,True,False,False,1,True
130,s39-D3,19852,0,0.0,980428,sample,False,False,False,False,0,True
130,s39-D8,20942,0,0.0,827396,sample,False,False,False,False,0,True
130,s41-E3,43746,0,0.0,4443184,sample,True,True,False,False,1,True
130,s41-E8,49645,1,2.0142609676509688e-05,5057328,sample,True,True,False,False,1,True
130,s43-F3,18059,0,0.0,1484381,sample,True,False,False,False,0,True
130,s43-F8,19402,0,0.0,1757944,sample,True,True,False,False,1,True
130,s45-G3,66165,63,0.0009512592861025548,9192216,sample,True,True,False,False,1,True
130,s45-G8,61011,15,0.0002457968734637695,7937616,sample,True,True,False,False,1,True
130,s49-H3,83148,8701,0.09473157029472286,9804891,sample,True,True,True,True,3,False
130,s49-H8,83966,9076,0.09754734421014166,9414974,sample,True,True,True,True,3,False
130,s5-C1,20113,0,0.0,2062269,sample,True,True,False,False,1,True
130,s5-C6,16527,0,0.0,1401055,sample,False,False,False,False,0,True
130,s51-A4,94826,11576,0.10879494746339355,12711395,sample,True,True,True,True,3,False
130,s51-A9,97114,11483,0.1057395692330359,11475402,sample,True,True,True,True,3,False
130,s53-B4,26135,2,7.651987603780082e-05,1025767,sample,False,False,False,False,0,True
130,s53-B9,25282,0,0.0,1005998,sample,False,False,False,False,0,True
130,s55-C4,10918,0,0.0,475909,sample,False,False,False,False,0,True
130,s55-C9,10618,0,0.0,481768,sample,False,False,False,False,0,True
130,s57-D4,84590,135,0.0015933903806432577,10187636,sample,True,True,False,False,1,True
130,s57-D9,92327,8,8.664103536037256e-05,8710027,sample,True,True,False,False,1,True
130,s59-E4,16356,65,0.003958346020339809,886470,sample,False,False,False,True,1,True
130,s59-E9,15743,3,0.00019052457767051949,768923,sample,False,False,False,False,0,True
130,s61-F4,20127,0,0.0,1687003,sample,True,True,False,False,1,True
130,s61-F9,19533,0,0.0,1524010,sample,True,False,False,False,0,True
130,s65-G4,87089,8065,0.08475734073186623,13366160,sample,True,True,True,True,3,False
